city_id,timestamp_utc,year,month,day,hour,temp_air_c,hr_pct,dew_point_c,solar_wm2,cloud_cover_pct,source
abidjan,2019-01-01T00:00,2019,01,01,00,25.00,95.00,24.20,0.00,5.00,open-meteo
abidjan,2019-01-01T01:00,2019,01,01,01,25.00,96.00,24.40,0.00,10.00,open-meteo
abidjan,2019-01-01T02:00,2019,01,01,02,24.50,97.00,24.00,0.00,21.00,open-meteo
abidjan,2019-01-01T03:00,2019,01,01,03,24.40,98.00,24.00,0.00,24.00,open-meteo
abidjan,2019-01-01T04:00,2019,01,01,04,25.60,96.00,24.90,0.00,14.00,open-meteo
abidjan,2019-01-01T05:00,2019,01,01,05,24.00,99.00,23.80,0.00,20.00,open-meteo
abidjan,2019-01-01T06:00,2019,01,01,06,24.00,99.00,23.90,0.00,100.00,open-meteo
abidjan,2019-01-01T07:00,2019,01,01,07,24.10,99.00,24.00,10.00,100.00,open-meteo
abidjan,2019-01-01T08:00,2019,01,01,08,25.80,95.00,25.00,101.00,52.00,open-meteo
abidjan,2019-01-01T09:00,2019,01,01,09,27.70,84.00,24.60,279.00,35.00,open-meteo
abidjan,2019-01-01T10:00,2019,01,01,10,28.90,76.00,24.20,437.00,41.00,open-meteo
abidjan,2019-01-01T11:00,2019,01,01,11,30.20,68.00,23.80,622.00,49.00,open-meteo
abidjan,2019-01-01T12:00,2019,01,01,12,30.30,66.00,23.40,754.00,16.00,open-meteo
abidjan,2019-01-01T13:00,2019,01,01,13,30.50,66.00,23.60,570.00,28.00,open-meteo
abidjan,2019-01-01T14:00,2019,01,01,14,30.70,67.00,24.00,649.00,37.00,open-meteo
abidjan,2019-01-01T15:00,2019,01,01,15,30.00,73.00,24.60,534.00,25.00,open-meteo
abidjan,2019-01-01T16:00,2019,01,01,16,29.00,77.00,24.60,384.00,26.00,open-meteo
abidjan,2019-01-01T17:00,2019,01,01,17,28.50,79.00,24.50,223.00,18.00,open-meteo
abidjan,2019-01-01T18:00,2019,01,01,18,27.20,86.00,24.60,67.00,22.00,open-meteo
abidjan,2019-01-01T19:00,2019,01,01,19,26.50,91.00,24.90,1.00,54.00,open-meteo
abidjan,2019-01-01T20:00,2019,01,01,20,26.20,92.00,24.90,0.00,38.00,open-meteo
abidjan,2019-01-01T21:00,2019,01,01,21,26.10,93.00,24.90,0.00,60.00,open-meteo
abidjan,2019-01-01T22:00,2019,01,01,22,26.00,93.00,24.60,0.00,45.00,open-meteo
abidjan,2019-01-01T23:00,2019,01,01,23,25.90,94.00,24.80,0.00,3.00,open-meteo
abidjan,2019-01-02T00:00,2019,01,02,00,25.40,96.00,24.60,0.00,3.00,open-meteo
abidjan,2019-01-02T01:00,2019,01,02,01,24.80,97.00,24.30,0.00,7.00,open-meteo
abidjan,2019-01-02T02:00,2019,01,02,02,24.50,97.00,24.00,0.00,19.00,open-meteo
abidjan,2019-01-02T03:00,2019,01,02,03,24.50,97.00,24.00,0.00,20.00,open-meteo
abidjan,2019-01-02T04:00,2019,01,02,04,24.60,97.00,24.10,0.00,23.00,open-meteo
abidjan,2019-01-02T05:00,2019,01,02,05,24.90,96.00,24.20,0.00,39.00,open-meteo
abidjan,2019-01-02T06:00,2019,01,02,06,24.70,98.00,24.30,0.00,33.00,open-meteo
abidjan,2019-01-02T07:00,2019,01,02,07,25.10,97.00,24.60,9.00,85.00,open-meteo
abidjan,2019-01-02T08:00,2019,01,02,08,26.20,93.00,24.90,100.00,62.00,open-meteo
abidjan,2019-01-02T09:00,2019,01,02,09,27.00,89.00,25.10,232.00,56.00,open-meteo
abidjan,2019-01-02T10:00,2019,01,02,10,28.00,88.00,25.90,406.00,34.00,open-meteo
abidjan,2019-01-02T11:00,2019,01,02,11,29.20,80.00,25.50,588.00,29.00,open-meteo
abidjan,2019-01-02T12:00,2019,01,02,12,31.00,67.00,24.10,683.00,25.00,open-meteo
abidjan,2019-01-02T13:00,2019,01,02,13,32.00,55.00,21.80,681.00,11.00,open-meteo
abidjan,2019-01-02T14:00,2019,01,02,14,32.40,51.00,21.00,673.00,5.00,open-meteo
abidjan,2019-01-02T15:00,2019,01,02,15,31.80,56.00,21.80,562.00,8.00,open-meteo
abidjan,2019-01-02T16:00,2019,01,02,16,30.10,74.00,25.00,431.00,3.00,open-meteo
abidjan,2019-01-02T17:00,2019,01,02,17,28.70,81.00,25.00,246.00,0.00,open-meteo
abidjan,2019-01-02T18:00,2019,01,02,18,27.30,87.00,24.90,78.00,1.00,open-meteo
abidjan,2019-01-02T19:00,2019,01,02,19,26.20,94.00,25.10,1.00,1.00,open-meteo
abidjan,2019-01-02T20:00,2019,01,02,20,26.00,96.00,25.30,0.00,2.00,open-meteo
abidjan,2019-01-02T21:00,2019,01,02,21,25.90,96.00,25.10,0.00,1.00,open-meteo
abidjan,2019-01-02T22:00,2019,01,02,22,25.50,97.00,25.00,0.00,0.00,open-meteo
abidjan,2019-01-02T23:00,2019,01,02,23,25.50,96.00,25.00,0.00,0.00,open-meteo
abidjan,2019-01-03T00:00,2019,01,03,00,25.40,95.00,24.60,0.00,3.00,open-meteo
abidjan,2019-01-03T01:00,2019,01,03,01,24.80,96.00,24.20,0.00,0.00,open-meteo
abidjan,2019-01-03T02:00,2019,01,03,02,24.40,97.00,24.00,0.00,3.00,open-meteo
abidjan,2019-01-03T03:00,2019,01,03,03,24.10,97.00,23.70,0.00,9.00,open-meteo
abidjan,2019-01-03T04:00,2019,01,03,04,24.40,97.00,23.90,0.00,22.00,open-meteo
abidjan,2019-01-03T05:00,2019,01,03,05,24.10,97.00,23.60,0.00,21.00,open-meteo
abidjan,2019-01-03T06:00,2019,01,03,06,24.20,98.00,23.90,0.00,34.00,open-meteo
abidjan,2019-01-03T07:00,2019,01,03,07,24.90,98.00,24.50,10.00,24.00,open-meteo
abidjan,2019-01-03T08:00,2019,01,03,08,26.40,93.00,25.10,109.00,22.00,open-meteo
