city_id,timestamp_utc,year,month,day,hour,temp_air_c,hr_pct,dew_point_c,solar_wm2,cloud_cover_pct,source
agadir,2019-01-01T00:00,2019,01,01,00,17.10,25.00,-3.30,0.00,0.00,open-meteo
agadir,2019-01-01T01:00,2019,01,01,01,15.70,29.00,-2.40,0.00,0.00,open-meteo
agadir,2019-01-01T02:00,2019,01,01,02,15.20,30.00,-2.20,0.00,0.00,open-meteo
agadir,2019-01-01T03:00,2019,01,01,03,14.60,31.00,-2.40,0.00,0.00,open-meteo
agadir,2019-01-01T04:00,2019,01,01,04,13.60,33.00,-2.30,0.00,0.00,open-meteo
agadir,2019-01-01T05:00,2019,01,01,05,13.50,32.00,-2.90,0.00,0.00,open-meteo
agadir,2019-01-01T06:00,2019,01,01,06,13.60,32.00,-2.90,0.00,0.00,open-meteo
agadir,2019-01-01T07:00,2019,01,01,07,13.20,33.00,-2.90,0.00,0.00,open-meteo
agadir,2019-01-01T08:00,2019,01,01,08,13.40,32.00,-3.20,6.00,0.00,open-meteo
agadir,2019-01-01T09:00,2019,01,01,09,16.70,26.00,-3.00,127.00,0.00,open-meteo
agadir,2019-01-01T10:00,2019,01,01,10,19.20,21.00,-3.60,315.00,87.00,open-meteo
agadir,2019-01-01T11:00,2019,01,01,11,20.50,19.00,-3.80,474.00,3.00,open-meteo
agadir,2019-01-01T12:00,2019,01,01,12,21.00,20.00,-3.10,588.00,24.00,open-meteo
agadir,2019-01-01T13:00,2019,01,01,13,21.40,20.00,-2.80,615.00,61.00,open-meteo
agadir,2019-01-01T14:00,2019,01,01,14,20.40,28.00,1.20,607.00,67.00,open-meteo
agadir,2019-01-01T15:00,2019,01,01,15,19.60,34.00,3.10,525.00,55.00,open-meteo
agadir,2019-01-01T16:00,2019,01,01,16,20.10,32.00,3.10,374.00,89.00,open-meteo
agadir,2019-01-01T17:00,2019,01,01,17,19.60,29.00,1.10,178.00,90.00,open-meteo
agadir,2019-01-01T18:00,2019,01,01,18,17.80,40.00,3.90,28.00,93.00,open-meteo
agadir,2019-01-01T19:00,2019,01,01,19,17.20,43.00,4.60,0.00,93.00,open-meteo
agadir,2019-01-01T20:00,2019,01,01,20,16.10,41.00,2.90,0.00,89.00,open-meteo
agadir,2019-01-01T21:00,2019,01,01,21,15.80,37.00,1.00,0.00,73.00,open-meteo
agadir,2019-01-01T22:00,2019,01,01,22,14.80,43.00,2.50,0.00,65.00,open-meteo
agadir,2019-01-01T23:00,2019,01,01,23,14.60,41.00,1.50,0.00,40.00,open-meteo
agadir,2019-01-02T00:00,2019,01,02,00,14.90,43.00,2.50,0.00,16.00,open-meteo
agadir,2019-01-02T01:00,2019,01,02,01,14.60,47.00,3.40,0.00,1.00,open-meteo
agadir,2019-01-02T02:00,2019,01,02,02,14.80,38.00,0.60,0.00,0.00,open-meteo
agadir,2019-01-02T03:00,2019,01,02,03,14.50,33.00,-1.50,0.00,0.00,open-meteo
agadir,2019-01-02T04:00,2019,01,02,04,14.40,35.00,-1.00,0.00,0.00,open-meteo
agadir,2019-01-02T05:00,2019,01,02,05,14.30,34.00,-1.50,0.00,0.00,open-meteo
agadir,2019-01-02T06:00,2019,01,02,06,14.20,30.00,-3.30,0.00,0.00,open-meteo
agadir,2019-01-02T07:00,2019,01,02,07,13.40,31.00,-3.50,0.00,0.00,open-meteo
agadir,2019-01-02T08:00,2019,01,02,08,12.50,36.00,-2.30,6.00,0.00,open-meteo
agadir,2019-01-02T09:00,2019,01,02,09,16.20,32.00,-0.40,127.00,0.00,open-meteo
agadir,2019-01-02T10:00,2019,01,02,10,18.10,24.00,-2.80,315.00,0.00,open-meteo
agadir,2019-01-02T11:00,2019,01,02,11,18.60,31.00,1.20,476.00,0.00,open-meteo
agadir,2019-01-02T12:00,2019,01,02,12,18.20,47.00,6.70,586.00,0.00,open-meteo
agadir,2019-01-02T13:00,2019,01,02,13,18.50,48.00,7.10,632.00,0.00,open-meteo
agadir,2019-01-02T14:00,2019,01,02,14,18.70,54.00,9.20,612.00,0.00,open-meteo
agadir,2019-01-02T15:00,2019,01,02,15,19.10,54.00,9.60,526.00,0.00,open-meteo
agadir,2019-01-02T16:00,2019,01,02,16,19.00,50.00,8.20,384.00,0.00,open-meteo
agadir,2019-01-02T17:00,2019,01,02,17,17.80,56.00,9.00,204.00,0.00,open-meteo
agadir,2019-01-02T18:00,2019,01,02,18,15.60,72.00,10.60,36.00,0.00,open-meteo
agadir,2019-01-02T19:00,2019,01,02,19,16.50,64.00,9.70,0.00,0.00,open-meteo
agadir,2019-01-02T20:00,2019,01,02,20,14.40,74.00,9.80,0.00,0.00,open-meteo
agadir,2019-01-02T21:00,2019,01,02,21,13.60,86.00,11.30,0.00,0.00,open-meteo
agadir,2019-01-02T22:00,2019,01,02,22,14.00,61.00,6.50,0.00,0.00,open-meteo
agadir,2019-01-02T23:00,2019,01,02,23,14.10,59.00,6.10,0.00,0.00,open-meteo
agadir,2019-01-03T00:00,2019,01,03,00,14.20,58.00,6.10,0.00,0.00,open-meteo
agadir,2019-01-03T01:00,2019,01,03,01,13.00,58.00,5.00,0.00,0.00,open-meteo
agadir,2019-01-03T02:00,2019,01,03,02,12.70,53.00,3.40,0.00,0.00,open-meteo
agadir,2019-01-03T03:00,2019,01,03,03,12.20,52.00,2.70,0.00,0.00,open-meteo
agadir,2019-01-03T04:00,2019,01,03,04,11.30,55.00,2.60,0.00,0.00,open-meteo
agadir,2019-01-03T05:00,2019,01,03,05,14.70,39.00,0.70,0.00,0.00,open-meteo
agadir,2019-01-03T06:00,2019,01,03,06,15.00,40.00,1.50,0.00,0.00,open-meteo
