city_id,timestamp_utc,year,month,day,hour,temp_air_c,hr_pct,dew_point_c,solar_wm2,cloud_cover_pct,source
douala,2019-01-01T00:00,2019,01,01,00,25.00,96.00,24.30,0.00,97.00,open-meteo
douala,2019-01-01T01:00,2019,01,01,01,25.40,96.00,24.80,0.00,93.00,open-meteo
douala,2019-01-01T02:00,2019,01,01,02,24.90,97.00,24.40,0.00,97.00,open-meteo
douala,2019-01-01T03:00,2019,01,01,03,24.00,99.00,23.80,0.00,98.00,open-meteo
douala,2019-01-01T04:00,2019,01,01,04,24.00,99.00,23.80,0.00,96.00,open-meteo
douala,2019-01-01T05:00,2019,01,01,05,24.40,99.00,24.20,0.00,91.00,open-meteo
douala,2019-01-01T06:00,2019,01,01,06,24.50,99.00,24.20,8.00,99.00,open-meteo
douala,2019-01-01T07:00,2019,01,01,07,26.30,90.00,24.50,93.00,91.00,open-meteo
douala,2019-01-01T08:00,2019,01,01,08,27.50,83.00,24.30,229.00,75.00,open-meteo
douala,2019-01-01T09:00,2019,01,01,09,29.20,74.00,24.00,441.00,81.00,open-meteo
douala,2019-01-01T10:00,2019,01,01,10,30.70,64.00,23.10,594.00,44.00,open-meteo
douala,2019-01-01T11:00,2019,01,01,11,31.80,60.00,23.00,723.00,72.00,open-meteo
douala,2019-01-01T12:00,2019,01,01,12,32.70,55.00,22.50,755.00,31.00,open-meteo
douala,2019-01-01T13:00,2019,01,01,13,32.00,59.00,22.90,672.00,98.00,open-meteo
douala,2019-01-01T14:00,2019,01,01,14,30.80,63.00,22.90,570.00,99.00,open-meteo
douala,2019-01-01T15:00,2019,01,01,15,29.90,69.00,23.50,354.00,100.00,open-meteo
douala,2019-01-01T16:00,2019,01,01,16,28.60,76.00,24.00,247.00,100.00,open-meteo
douala,2019-01-01T17:00,2019,01,01,17,27.70,84.00,24.80,88.00,97.00,open-meteo
douala,2019-01-01T18:00,2019,01,01,18,27.30,88.00,25.00,3.00,99.00,open-meteo
douala,2019-01-01T19:00,2019,01,01,19,27.10,88.00,25.00,0.00,100.00,open-meteo
douala,2019-01-01T20:00,2019,01,01,20,26.60,91.00,25.00,0.00,99.00,open-meteo
douala,2019-01-01T21:00,2019,01,01,21,26.20,94.00,25.10,0.00,98.00,open-meteo
douala,2019-01-01T22:00,2019,01,01,22,25.50,96.00,24.80,0.00,96.00,open-meteo
douala,2019-01-01T23:00,2019,01,01,23,25.40,96.00,24.60,0.00,96.00,open-meteo
douala,2019-01-02T00:00,2019,01,02,00,25.40,96.00,24.70,0.00,86.00,open-meteo
douala,2019-01-02T01:00,2019,01,02,01,24.90,97.00,24.40,0.00,72.00,open-meteo
douala,2019-01-02T02:00,2019,01,02,02,24.80,97.00,24.20,0.00,92.00,open-meteo
douala,2019-01-02T03:00,2019,01,02,03,24.60,96.00,24.00,0.00,91.00,open-meteo
douala,2019-01-02T04:00,2019,01,02,04,24.50,95.00,23.60,0.00,73.00,open-meteo
douala,2019-01-02T05:00,2019,01,02,05,23.80,99.00,23.60,0.00,94.00,open-meteo
douala,2019-01-02T06:00,2019,01,02,06,24.10,99.00,24.00,6.00,93.00,open-meteo
douala,2019-01-02T07:00,2019,01,02,07,24.90,96.00,24.30,75.00,90.00,open-meteo
douala,2019-01-02T08:00,2019,01,02,08,25.90,92.00,24.50,175.00,87.00,open-meteo
douala,2019-01-02T09:00,2019,01,02,09,27.50,88.00,25.20,374.00,86.00,open-meteo
douala,2019-01-02T10:00,2019,01,02,10,28.30,84.00,25.20,460.00,78.00,open-meteo
douala,2019-01-02T11:00,2019,01,02,11,29.50,74.00,24.40,604.00,49.00,open-meteo
douala,2019-01-02T12:00,2019,01,02,12,30.40,67.00,23.60,627.00,49.00,open-meteo
douala,2019-01-02T13:00,2019,01,02,13,30.20,68.00,23.70,580.00,37.00,open-meteo
douala,2019-01-02T14:00,2019,01,02,14,30.10,69.00,23.90,528.00,25.00,open-meteo
douala,2019-01-02T15:00,2019,01,02,15,29.50,72.00,23.80,442.00,35.00,open-meteo
douala,2019-01-02T16:00,2019,01,02,16,28.50,76.00,24.00,249.00,59.00,open-meteo
douala,2019-01-02T17:00,2019,01,02,17,27.70,82.00,24.20,86.00,53.00,open-meteo
douala,2019-01-02T18:00,2019,01,02,18,26.90,87.00,24.50,3.00,87.00,open-meteo
douala,2019-01-02T19:00,2019,01,02,19,26.50,90.00,24.60,0.00,73.00,open-meteo
douala,2019-01-02T20:00,2019,01,02,20,26.20,90.00,24.50,0.00,68.00,open-meteo
douala,2019-01-02T21:00,2019,01,02,21,26.00,90.00,24.40,0.00,28.00,open-meteo
douala,2019-01-02T22:00,2019,01,02,22,24.80,95.00,23.90,0.00,64.00,open-meteo
douala,2019-01-02T23:00,2019,01,02,23,25.20,93.00,23.90,0.00,56.00,open-meteo
douala,2019-01-03T00:00,2019,01,03,00,25.50,91.00,24.00,0.00,4.00,open-meteo
douala,2019-01-03T01:00,2019,01,03,01,26.40,89.00,24.30,0.00,23.00,open-meteo
douala,2019-01-03T02:00,2019,01,03,02,24.60,96.00,24.00,0.00,38.00,open-meteo
douala,2019-01-03T03:00,2019,01,03,03,24.80,96.00,24.10,0.00,57.00,open-meteo
douala,2019-01-03T04:00,2019,01,03,04,24.00,98.00,23.70,0.00,78.00,open-meteo
douala,2019-01-03T05:00,2019,01,03,05,23.80,97.00,23.30,0.00,78.00,open-meteo
douala,2019-01-03T06:00,2019,01,03,06,24.00,96.00,23.20,6.00,88.00,open-meteo
douala,2019-01-03T07:00,2019,01,03,07,24.80,94.00,23.90,82.00,96.00,open-meteo
douala,2019-01-03T08:00,2019,01,03,08,25.90,91.00,24.20,179.00,97.00,open-meteo
douala,2019-01-03T09:00,2019,01,03,09,27.00,84.00,24.10,311.00,98.00,open-meteo
douala,2019-01-03T10:00,2019,01,03,10,28.80,73.00,23.50,482.00,87.00,open-meteo
douala,2019-01-03T11:00,2019,01,03,11,30.00,65.00,22.70,544.00,98.00,open-meteo
douala,2019-01-03T12:00,2019,01,03,12,31.80,60.00,23.20,585.00,98.00,open-meteo
douala,2019-01-03T13:00,2019,01,03,13,31.60,61.00,23.10,639.00,82.00,open-meteo
douala,2019-01-03T14:00,2019,01,03,14,30.90,59.00,21.80,539.00,86.00,open-meteo
douala,2019-01-03T15:00,2019,01,03,15,29.50,70.00,23.50,389.00,95.00,open-meteo
douala,2019-01-03T16:00,2019,01,03,16,28.10,76.00,23.50,216.00,96.00,open-meteo
douala,2019-01-03T17:00,2019,01,03,17,27.50,83.00,24.40,88.00,92.00,open-meteo
douala,2019-01-03T18:00,2019,01,03,18,26.70,88.00,24.50,4.00,90.00,open-meteo
douala,2019-01-03T19:00,2019,01,03,19,26.30,90.00,24.50,0.00,69.00,open-meteo
douala,2019-01-03T20:00,2019,01,03,20,26.00,91.00,24.50,0.00,61.00,open-meteo
douala,2019-01-03T21:00,2019,01,03,21,25.90,93.00,24.60,0.00,88.00,open-meteo
douala,2019-01-03T22:00,2019,01,03,22,25.00,96.00,24.40,0.00,71.00,open-meteo
douala,2019-01-03T23:00,2019,01,03,23,25.50,94.00,24.50,0.00,36.00,open-meteo
douala,2019-01-04T00:00,2019,01,04,00,24.80,98.00,24.50,0.00,21.00,open-meteo
douala,2019-01-04T01:00,2019,01,04,01,24.90,97.00,24.40,0.00,42.00,open-meteo
douala,2019-01-04T02:00,2019,01,04,02,24.50,97.00,24.00,0.00,45.00,open-meteo
douala,2019-01-04T03:00,2019,01,04,03,24.50,98.00,24.00,0.00,54.00,open-meteo
douala,2019-01-04T04:00,2019,01,04,04,24.50,97.00,24.00,0.00,71.00,open-meteo
douala,2019-01-04T05:00,2019,01,04,05,24.50,96.00,23.90,0.00,62.00,open-meteo
douala,2019-01-04T06:00,2019,01,04,06,24.40,96.00,23.60,7.00,33.00,open-meteo
douala,2019-01-04T07:00,2019,01,04,07,25.30,91.00,23.80,97.00,38.00,open-meteo
douala,2019-01-04T08:00,2019,01,04,08,26.90,84.00,24.00,264.00,66.00,open-meteo
douala,2019-01-04T09:00,2019,01,04,09,28.70,74.00,23.50,436.00,52.00,open-meteo
douala,2019-01-04T10:00,2019,01,04,10,30.40,66.00,23.40,599.00,33.00,open-meteo
douala,2019-01-04T11:00,2019,01,04,11,31.20,63.00,23.30,649.00,14.00,open-meteo
douala,2019-01-04T12:00,2019,01,04,12,31.80,59.00,22.90,734.00,15.00,open-meteo
douala,2019-01-04T13:00,2019,01,04,13,31.00,67.00,24.00,620.00,63.00,open-meteo
douala,2019-01-04T14:00,2019,01,04,14,30.60,66.00,23.50,519.00,62.00,open-meteo
douala,2019-01-04T15:00,2019,01,04,15,29.90,71.00,24.00,391.00,92.00,open-meteo
douala,2019-01-04T16:00,2019,01,04,16,28.60,77.00,24.10,239.00,64.00,open-meteo
douala,2019-01-04T17:00,2019,01,04,17,27.70,83.00,24.50,89.00,74.00,open-meteo
douala,2019-01-04T18:00,2019,01,04,18,27.00,88.00,24.80,4.00,73.00,open-meteo
douala,2019-01-04T19:00,2019,01,04,19,26.70,91.00,25.00,0.00,77.00,open-meteo
douala,2019-01-04T20:00,2019,01,04,20,26.20,93.00,25.00,0.00,80.00,open-meteo
douala,2019-01-04T21:00,2019,01,04,21,25.10,96.00,24.50,0.00,42.00,open-meteo
douala,2019-01-04T22:00,2019,01,04,22,25.60,95.00,24.80,0.00,5.00,open-meteo
douala,2019-01-04T23:00,2019,01,04,23,24.70,98.00,24.30,0.00,4.00,open-meteo
douala,2019-01-05T00:00,2019,01,05,00,25.10,97.00,24.60,0.00,24.00,open-meteo
douala,2019-01-05T01:00,2019,01,05,01,26.20,94.00,25.20,0.00,93.00,open-meteo
douala,2019-01-05T02:00,2019,01,05,02,25.70,95.00,24.90,0.00,94.00,open-meteo
douala,2019-01-05T03:00,2019,01,05,03,24.10,98.00,23.90,0.00,49.00,open-meteo
douala,2019-01-05T04:00,2019,01,05,04,24.50,98.00,24.10,0.00,47.00,open-meteo
douala,2019-01-05T05:00,2019,01,05,05,24.20,99.00,24.00,0.00,83.00,open-meteo
douala,2019-01-05T06:00,2019,01,05,06,24.10,99.00,24.00,8.00,100.00,open-meteo
douala,2019-01-05T07:00,2019,01,05,07,25.70,91.00,24.10,98.00,59.00,open-meteo
douala,2019-01-05T08:00,2019,01,05,08,27.40,81.00,23.90,235.00,55.00,open-meteo
douala,2019-01-05T09:00,2019,01,05,09,29.00,72.00,23.50,433.00,37.00,open-meteo
douala,2019-01-05T10:00,2019,01,05,10,30.60,63.00,22.80,582.00,6.00,open-meteo
douala,2019-01-05T11:00,2019,01,05,11,32.00,55.00,22.00,744.00,6.00,open-meteo
douala,2019-01-05T12:00,2019,01,05,12,31.30,61.00,23.00,792.00,3.00,open-meteo
douala,2019-01-05T13:00,2019,01,05,13,31.10,63.00,23.40,688.00,17.00,open-meteo
douala,2019-01-05T14:00,2019,01,05,14,30.60,62.00,22.50,569.00,30.00,open-meteo
douala,2019-01-05T15:00,2019,01,05,15,29.20,73.00,23.90,436.00,9.00,open-meteo
douala,2019-01-05T16:00,2019,01,05,16,28.50,79.00,24.40,272.00,9.00,open-meteo
douala,2019-01-05T17:00,2019,01,05,17,27.50,82.00,24.20,94.00,12.00,open-meteo
douala,2019-01-05T18:00,2019,01,05,18,27.00,87.00,24.60,4.00,12.00,open-meteo
douala,2019-01-05T19:00,2019,01,05,19,26.80,89.00,24.90,0.00,6.00,open-meteo
douala,2019-01-05T20:00,2019,01,05,20,26.50,91.00,24.90,0.00,13.00,open-meteo
douala,2019-01-05T21:00,2019,01,05,21,26.30,91.00,24.60,0.00,9.00,open-meteo
douala,2019-01-05T22:00,2019,01,05,22,25.90,92.00,24.50,0.00,13.00,open-meteo
douala,2019-01-05T23:00,2019,01,05,23,24.90,96.00,24.10,0.00,20.00,open-meteo
douala,2019-01-06T00:00,2019,01,06,00,25.00,96.00,24.30,0.00,46.00,open-meteo
douala,2019-01-06T01:00,2019,01,06,01,24.50,97.00,24.00,0.00,38.00,open-meteo
douala,2019-01-06T02:00,2019,01,06,02,24.50,96.00,23.80,0.00,56.00,open-meteo
douala,2019-01-06T03:00,2019,01,06,03,24.30,94.00,23.20,0.00,60.00,open-meteo
douala,2019-01-06T04:00,2019,01,06,04,23.80,97.00,23.20,0.00,48.00,open-meteo
douala,2019-01-06T05:00,2019,01,06,05,23.50,97.00,23.00,0.00,52.00,open-meteo
douala,2019-01-06T06:00,2019,01,06,06,23.50,96.00,22.80,6.00,42.00,open-meteo
