city_id,month,hour,sample_count,temp_mean_c,temp_std_c,temp_p01_c,temp_p05_c,temp_p50_c,temp_p95_c,temp_p99_c,hr_mean_pct,hr_std_pct,hr_p01_pct,hr_p05_pct,hr_p50_pct,hr_p95_pct,hr_p99_pct,solar_mean_wm2,solar_std_wm2,solar_p01_wm2,solar_p05_wm2,solar_p50_wm2,solar_p95_wm2,solar_p99_wm2,cloud_mean_pct,cloud_std_pct,cloud_p01_pct,cloud_p05_pct,cloud_p50_pct,cloud_p95_pct,cloud_p99_pct
agadir,1,0,186,15.346774193548388,2.551009777420565,10.7,11.625,15.1,20.0,22.665000000000006,54.736559139784944,19.732088842693894,14.0,23.0,56.0,87.0,93.45000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.510752688172044,36.956708071424174,0.0,0.0,0.0,100.0,100.0
agadir,1,1,186,15.173118279569891,2.6101184328152187,10.67,11.225,15.0,20.05,22.675000000000004,53.70967741935484,19.769413023501517,14.0,22.25,54.0,86.75,93.45000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.79032258064516,38.614222585952,0.0,0.0,0.0,100.0,100.0
agadir,1,2,186,14.983870967741932,2.655903965851137,10.084999999999999,10.925,14.7,20.325,22.250000000000007,52.82258064516129,20.19889611075216,14.7,22.25,53.0,87.75,92.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.736559139784948,38.14320014357397,0.0,0.0,0.0,100.0,100.0
agadir,1,3,186,14.975268817204302,2.80545382501592,10.07,10.9,14.7,20.675,22.130000000000003,51.77956989247312,20.595954604037342,13.7,20.25,51.0,86.75,94.45000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.225806451612904,37.9754105592729,0.0,0.0,0.5,100.0,100.0
agadir,1,4,186,14.831182795698936,2.8733285368304524,9.684999999999999,10.325000000000001,14.8,20.225,22.4,51.55913978494624,20.741347394350935,12.0,20.25,50.5,87.5,96.45000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.204301075268816,37.12940438079762,0.0,0.0,1.0,100.0,100.0
agadir,1,5,186,14.83548387096775,2.9127323447418654,9.385,10.65,14.5,20.625,22.1,50.59139784946237,21.131811905042667,11.85,19.5,47.0,88.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.881720430107528,37.58884799796765,0.0,0.0,1.5,100.0,100.0
agadir,1,6,186,14.790322580645155,2.903059732406521,8.9,10.425,14.55,20.425,22.1,50.075268817204304,21.11399503215959,11.85,19.25,47.5,88.0,96.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.666666666666668,39.169697892311,0.0,0.0,1.0,100.0,100.0
agadir,1,7,186,14.68172043010752,2.9694663448932332,8.7,10.3,14.5,20.675,22.015,50.29032258064516,21.479462882073964,11.85,20.0,45.5,90.0,96.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.43010752688172,37.77491283607926,0.0,0.0,2.0,100.0,100.0
agadir,1,8,186,14.70806451612903,3.005333881247332,9.370000000000001,10.325000000000001,14.45,20.675,22.130000000000003,50.365591397849464,21.97103907382584,11.85,18.25,47.0,89.75,97.30000000000001,6.043010752688172,1.5444244395070763,1.85,4.0,6.0,9.0,10.0,26.451612903225808,38.226409867747705,0.0,0.0,1.0,100.0,100.0
agadir,1,9,186,16.43978494623656,2.8856761487513305,12.07,12.725,16.1,22.4,23.675000000000004,48.06989247311828,21.84157171146682,11.85,18.0,45.0,84.75,95.30000000000001,117.41397849462365,23.772569768935206,19.0,68.0,124.0,141.0,145.15,25.553763440860216,37.80069140614695,0.0,0.0,0.0,100.0,100.0
